2022-01-07 10:37:48,513 - DEBUG : this is debug
2022-01-07 10:37:48,513 - INFO : this is info
2022-01-07 10:37:48,513 - WARNING : this is warning
2022-01-07 10:37:48,513 - ERROR : this is error
2022-01-07 10:37:48,513 - CRITICAL : this issss critical
2022-01-07 10:38:10,859 - DEBUG : this is debug
2022-01-07 10:38:10,859 - INFO : this is info
2022-01-07 10:38:10,859 - WARNING : this is warning
2022-01-07 10:38:10,859 - ERROR : this is error
2022-01-07 10:38:10,860 - CRITICAL : this issss critical
01/07/2022 10:43:28 AM - DEBUG : this is debug
01/07/2022 10:43:28 AM - INFO : this is info
01/07/2022 10:43:28 AM - WARNING : this is warning
01/07/2022 10:43:28 AM - ERROR : this is error
01/07/2022 10:43:28 AM - CRITICAL : this issss critical
01/07/2022 10:44:53 AM - DEBUG : this is debug
01/07/2022 10:44:53 AM - INFO : this is info
01/07/2022 10:44:53 AM - WARNING : this is warning
01/07/2022 10:44:53 AM - ERROR : this is error
01/07/2022 10:44:53 AM - CRITICAL : this issss critical
